url,label
"http://demo.site/?input=<object data=javascript:alert('x')>",xss
"http://school.com/form?student=' OR '' = '",sql_injection
"http://newsportal.com/article?id=4523",benign
"http://blog.net/?q=<script>alert(42)</script>",xss
"http://update.example.com/?next=dashboard",benign
"http://vulnsite.com/login?user=<script>alert(document.cookie)</script>",xss
"http://mysite.com/info?id=1 AND 1=1",sql_injection
"http://safe.shop.com/item?id=123",benign
"http://library.net/book?id=4321",benign
"http://target.com/search?term=' OR EXISTS(SELECT *)",sql_injection
"http://click.site.com/?a=<script src=http://attacker.com/xss.js></script>",xss
"http://secure.com/login?email=admin'--",sql_injection
"http://docs.site.com/download?file=report.pdf",benign
"http://redirect.me/?next=http://evil.com",benign
"http://site.com?q=<body onload=alert('xss')>",xss
"http://online.com/login?user=admin'--&pass=",sql_injection
"http://example.com/home",benign
"http://example.com/login?username=admin'--&password=",sql_injection
"http://xssbox.org/payload?xss=%3Cimg%20src=1%20onerror=alert('boom')%3E",xss
"http://shop.com/item?id=1'%20OR%20'1'%20=%20'1",sql_injection
"http://shop.com/products?name=shoes",benign
"http://portal.site.org/dashboard?user=admin",benign
"http://page.com/?value=%22%3E%3Cscript%3Ealert(1)%3C/script%3E",xss
"http://datahub.org/page.php?id=-1' OR '1'='1",sql_injection
"http://weatherinfo.com/today?location=delhi",benign
"http://api.org/auth?name=' OR sleep(5)#",sql_injection
"http://form.io/?comment=<svg onload=alert(99)>",xss
"http://adminportal.com?id=1; DROP TABLE users;--",sql_injection
"http://test.net/search?q=test'%20OR%20'1'%20=%20'1",sql_injection
"http://site.infect.com/?<svg%20onload='alert(`XSS`)'>",xss
"http://flightbooker.com/search?from=nyc&to=del",benign
"http://comments.com/post?id=5&comment=<img src=x onerror=alert('x')>",xss
"http://user.dashboard.com/settings",benign
"http://legit.com/view?ref=home",benign
"http://abc.com/query=' or 'x'='x",sql_injection
"http://test.com/x?val=%3Cscript%3Ealert(99)%3C/script%3E",xss
"http://attack.com/index?id=2 UNION SELECT ALL",sql_injection
"http://injectxss.com/?<img src=x onerror=alert(3)>",xss
"http://calendar.com/events/view?id=1001",benign
"http://target.com/#<script>alert(document.cookie)</script>",xss
"http://shop.com/filter?q=<script>console.log('x')</script>",xss
"http://weatherapp.com/api/forecast?city=mumbai",benign
"http://portal.net/?query=' OR 1=1#",sql_injection
"http://hacker.site/?input=<svg onload=alert(1)>",xss
"http://support.example.com/contact",benign
"http://bank.com/transfer?amount=1000&to=1234; DROP TABLE users;",sql_injection
"http://docs.io/open?file=report2022.pdf",benign
"http://abc.in/?data=<img src=x onerror=alert('x')>",xss
"http://input.net/?msg=<script src='http://evil.io/xss.js'></script>",xss
"http://vuln.io/?search=<IMG SRC=javascript:alert('XSS')>",xss
"http://example.com/items?id=10 OR 1=1",sql_injection
"http://exploit.net/?id=1' AND '1'='1",sql_injection
"http://calendar.google.com/event?id=1280",benign
"http://blog.example.net/posts?id=5432",benign
"http://evil.com/form?data=<script src='http://malicious.com/xss.js'></script>",xss
"http://sqltest.com/user=' OR 1=1#",sql_injection
"http://click.me/path?msg=%3Cscript%3Ealert(1)%3C/script%3E",xss
"http://edu.org/library?q=machine+learning",benign
"http://example.org/items?id=5 AND 1=1",sql_injection
"http://login.org/auth=<iframe src=javascript:alert(1)>",xss
"http://bank.com/branches",benign
"http://testurl.com/search?query=<script>alert(document.cookie)</script>",xss
"http://data.com/api?user=' OR 1=1#",sql_injection
"http://form.insecure.com/comment=%3Cscript%3Econfirm('x')%3C/script%3E",xss
"http://admin.com/auth?input=%3Cscript%3Eeval('alert(9)')%3C/script%3E",xss
"http://movie.site.com/play?id=5555",benign
"http://securebank.com/login",benign
"http://redirect.io/next=<script>window.alert('xss')</script>",xss
"http://api.example.com?id=1'%20OR%20'1'%20=%20'1",sql_injection
"http://sniff.io/?url=%3Cscript%3Ealert(navigator.userAgent)%3C/script%3E",xss
"http://mysite.org/?ref=<object data='javascript:alert(9)'>",xss
"http://docs.site.com/open?id=report123",benign
"http://target.in/?value=<iframe src='javascript:alert(1)'>",xss
"http://example.com/search?q=test'%20OR%20'1'%20=%20'1",sql_injection
"http://data.site.net/product?cat=toys",benign
"http://app.com/login?redirect=<svg onload=alert(1)>",xss
"http://unsafe.com/?id=' OR sleep(5)--",sql_injection
"http://weatherapp.io/?loc=mumbai",benign
"http://profile.social.com/view?user=john_doe",benign
"http://abc.com/index?q=<script>alert('xss')</script>",xss
"http://commentsbox.com/?text=<img src=x onerror='alert(\"oops\")'>",xss
"http://users.site.com/page=<script>top.location='http://evil'</script>",xss
"http://support.site.org/help?id=2345",benign
